stop_id,stop_name,stop_lat,stop_lon,stop_desc
1130,Conestoga Mall Terminal,43.498071,-80.528415,EasyGO1130
1131,Northfield / King,43.501633,-80.53392,EasyGO1131
1132,Northfield / Colby,43.500295,-80.537427,EasyGO1132
1133,Chesapeake / Seawind,43.51066959,-80.51389947,EasyGO1133
1134,Northfield / Parkside,43.497323,-80.545668,EasyGO1134
1135,Northfield / Weber,43.49618,-80.548988,EasyGO1135
1136,Northfield / Weber,43.495593,-80.550702,EasyGO1136
1137,Northfield / Northgate,43.494482,-80.55376,EasyGO1137
1138,Northfield / Skylark,43.493625,-80.556175,EasyGO1138
1139,Northlake / Black Oak,43.494805,-80.55713,EasyGO1139
1140,Northlake / Green Meadow,43.49483,-80.559548,EasyGO1140
1141,Northlake / Pine Island,43.493962,-80.562523,EasyGO1141
1142,Highpoint / Cornerbrook,43.493252,-80.564747,EasyGO1142
1143,Highpoint / Wintergreen,43.491195,-80.564522,EasyGO1143
1144,Highpoint / Rolling Hills,43.488437,-80.563307,EasyGO1144
1145,Highpoint / Dogwood,43.48682,-80.563315,EasyGO1145
1146,Highpoint / Toll Gate,43.484945,-80.559987,EasyGO1146
1147,Toll Gate / Glen Forrest,43.487193,-80.556668,EasyGO1147
1148,Glen Forrest / Teakwood,43.486143,-80.553573,EasyGO1148
1149,Cedarbrae / Glen Forrest,43.48567,-80.55156,EasyGO1149
1150,Cedarbrae/Heasley Pk. Trail,43.4879488,-80.55008486,EasyGO1150
1152,Cedarbrae / Sprucehill,43.489614,-80.54806,EasyGO1152
1153,Parkside / Glenelm,43.490203,-80.545167,EasyGO1153
1154,Parkside / Weber,43.492592,-80.544622,EasyGO1154
1155,Albert / Weber,43.491555,-80.537553,EasyGO1155
1156,Albert / Longwood,43.490535,-80.539497,EasyGO1156
1157,Albert / Quiet,43.487638,-80.541565,EasyGO1157
1158,Hazel / Wildwood,43.485729,-80.539087,EasyGO1158
1159,Hazel / Blythwood,43.485792,-80.537551,EasyGO1159
1160,Hazel / Tamarack,43.483953,-80.53549,EasyGO1160
1161,Hazel / Austin,43.481577,-80.53308,EasyGO1161
1162,Waterloo C.I.,43.478955,-80.531031,EasyGO1162
1163,Hazel / Hickory,43.477902,-80.530213,EasyGO1163
1164,Hickory / King,43.478035,-80.525662,EasyGO1164
1165,King / University,43.476328,-80.52507,EasyGO1165
1166,University / King,43.47603,-80.525778,EasyGO1166
1167,Laurier,43.475522,-80.528253,EasyGO1167
1168,Hazel / Hickory,43.477882,-80.53003,EasyGO1168
1169,Waterloo C.I. 2,43.478332,-80.530403,EasyGO1169
1170,Waterloo C.I. 1,43.478533,-80.530555,EasyGO1170
1171,Waterloo C.I.,43.479566,-80.531347,EasyGO1171
1172,Hazel / Austin,43.481543,-80.532912,EasyGO1172
1173,Hazel / Smallwood,43.483773,-80.535095,EasyGO1173
1174,Hazel / Blythwood,43.485675,-80.537293,EasyGO1174
1175,Hazel / Albert,43.485738,-80.539433,EasyGO1175
1176,Albert / Greenbrier,43.48815,-80.541385,EasyGO1176
1177,Albert / Longwood,43.490542,-80.539163,EasyGO1177
1178,Weber / Albert,43.492042,-80.537633,EasyGO1178
1179,Parkside / Weber,43.49266,-80.544787,EasyGO1179
1180,Northfield / Davenport,43.50351717,-80.52799477,EasyGO1180
1181,Cedarbrae / Mount Anne,43.490035,-80.546096,EasyGO1181
1182,Cedarbrae / Sprucehill,43.489822,-80.547727,EasyGO1182
1183,Cedarbrae/Heasley Pk. Trail,43.488012,-80.550237,EasyGO1183
1184,Cedarbrae / Glen Forrest,43.485683,-80.551702,EasyGO1184
1185,Glen Forrest / Brookhaven,43.487043,-80.555423,EasyGO1185
1186,Toll Gate / Glen Forrest,43.4873,-80.556698,EasyGO1186
1187,Toll Gate / Dogwood,43.486157,-80.559077,EasyGO1187
1188,Toll Gate / Highpoint,43.485105,-80.55966,EasyGO1188
1189,Highpoint / Dogwood,43.486712,-80.563085,EasyGO1189
1190,Highpoint / Rolling Hills,43.48914,-80.562982,EasyGO1190
1191,Highpoint / Northfield,43.491093,-80.564262,EasyGO1191
1192,Highpoint / Cornerbrook,43.493208,-80.564582,EasyGO1192
1193,Northlake / Highpoint,43.493622,-80.563955,EasyGO1193
1194,Northlake / Green Meadow,43.494712,-80.559533,EasyGO1194
1195,Northlake / Skylark,43.494148,-80.556752,EasyGO1195
1196,Northfield / Skylark,43.493527,-80.555927,EasyGO1196
1197,Northfield / Northgate,43.494357,-80.553547,EasyGO1197
1198,Northfield / Weber,43.49565116,-80.54970194,EasyGO1198
1199,Northfield / Weber,43.496233,-80.548257,EasyGO1199
1200,Northfield / Parkside,43.496948,-80.54621,EasyGO1200
1201,Northfield / Conestogo,43.500237,-80.537123,EasyGO1201
1202,Northfield / King,43.501425,-80.533822,EasyGO1202
1204,Davenport / Northfield,43.502517,-80.52807,EasyGO1204
1205,Davenport / Old Abbey,43.499948,-80.52561,EasyGO1205
1207,Davenport / Northfield,43.503923,-80.528718,EasyGO1207
1208,Frobisher / Davenport,43.505358,-80.529208,EasyGO1208
1209,151 Frobisher Dr.,43.506061,-80.52799,EasyGO1209
1210,Frobisher / Mcmurray,43.50709,-80.526702,EasyGO1210
1211,Northfield / Davenport,43.50311291,-80.52980583,EasyGO1211
1212,Kraus / Northfield,43.50147446,-80.530614,EasyGO1212
1215,Mcmurray / Northland,43.509115,-80.528723,EasyGO1215
1216,Bathurst / Mcmurray,43.511095,-80.531618,EasyGO1216
1217,Bathurst / Rankin,43.510245,-80.533948,EasyGO1217
1218,Rupert / Bathurst,43.508975,-80.536588,EasyGO1218
1219,Rupert / Northland,43.506807,-80.534284,EasyGO1219
1220,Northland / Frobisher,43.505877,-80.535618,EasyGO1220
1221,Wyman / Colby,43.504427,-80.538053,EasyGO1221
1222,633 Colby Dr.,43.506382,-80.5406,EasyGO1222
1223,Colby / Colby Crt.,43.507375,-80.542742,EasyGO1223
1224,612 Colby Dr.,43.505638,-80.542803,EasyGO1224
1225,601 Colby Dr.,43.503888,-80.54154,EasyGO1225
1226,Colby / Colby Dr.,43.500883,-80.53866,EasyGO1226
1227,Kumpf / Northfield,43.499817,-80.541767,EasyGO1227
1228,585 Kumpf Dr.,43.501265,-80.542702,EasyGO1228
1229,Kumpf / R.I.M.,43.50674855,-80.54607737,EasyGO1229
1230,Randall / Conrad,43.5021,-80.5498,EasyGO1230
1231,Randall / Weber,43.501223,-80.552262,EasyGO1231
1232,Northlake / Swallow,43.502452,-80.554887,EasyGO1232
1233,Northlake / Mayview,43.498857,-80.554092,EasyGO1233
1234,Golden Eagle / Weber,43.49848,-80.55178,EasyGO1234
1235,Queen / Rooshill,43.424274,-80.323206,EasyGO1235
1236,Queen / Harvey,43.429882,-80.313782,EasyGO1236
1237,Queen / Hungerford,43.433445,-80.30735,EasyGO1237
1238,Queen / Panabaker,43.435822,-80.304628,EasyGO1238
1239,River / Queen,43.439152,-80.30165,EasyGO1239
1240,Melran / Mccormick,43.438698,-80.298918,EasyGO1240
1241,Melran / Alderson,43.440101,-80.295513,EasyGO1241
1242,Mcmeeken / Werstine,43.43811,-80.294027,EasyGO1242
1243,Mcmeeken / Mccormick,43.436943,-80.293683,EasyGO1243
1244,Kerwood / Gees,43.430943,-80.293117,EasyGO1244
1245,Ellis / Kerwood,43.429097,-80.289172,EasyGO1245
1246,Ellis / Cooper,43.428063,-80.295037,EasyGO1246
1247,Cooper / Ellis,43.427858,-80.297755,EasyGO1247
1248,Cooper / Ontario,43.4305,-80.301247,EasyGO1248
1249,Cooper / Lewis,43.431798,-80.305808,EasyGO1249
1250,Queen / Adam,43.431183,-80.311242,EasyGO1250
1251,Queen / Harvey,43.429298,-80.31529,EasyGO1251
1252,Queen / Winston,43.427548,-80.318845,EasyGO1252
1253,Queen / Shepherd,43.422573,-80.325145,EasyGO1253
1254,Queen / Shepherd,43.423247,-80.32423,EasyGO1254
1255,Winston / Queen,43.426565,-80.318583,EasyGO1255
1256,Winston / Edward,43.424602,-80.316617,EasyGO1256
1257,Franklin / Winston,43.42183,-80.310213,EasyGO1257
1258,Franklin / Thomas,43.424345,-80.31005,EasyGO1258
1259,Franklin / Edward,43.427027,-80.309848,EasyGO1259
1260,Adam / Bergey,43.42965,-80.30826,EasyGO1260
1261,Rife / Kribs,43.429325,-80.304797,EasyGO1261
1262,Cooper / Rife,43.42968718,-80.30035497,EasyGO1262
1263,Cooper / Phin,43.42788096,-80.29793995,EasyGO1263
1264,Cooper / Adler,43.42558,-80.293662,EasyGO1264
1265,Winston / Cooper,43.422132,-80.292838,EasyGO1265
1266,Winston / Darren,43.421323,-80.29779,EasyGO1266
1267,Winston / Karl,43.421762,-80.301917,EasyGO1267
1268,Winston / Gunn,43.421378,-80.304445,EasyGO1268
1269,Winston / Westbury,43.421747,-80.307085,EasyGO1269
1270,Winston / Scottdale,43.421505,-80.31098,EasyGO1270
1271,Winston / Hipel,43.421907,-80.314563,EasyGO1271
1272,Winston / Edward,43.424145,-80.316075,EasyGO1272
1273,Winston / Queen,43.426893,-80.318827,EasyGO1273
1274,Queen / Rooshill,43.424292,-80.32333,EasyGO1274
1275,Holiday Inn / Groh,43.41879,-80.325147,EasyGO1275
1276,Groh / Holiday Inn,43.419163,-80.326232,EasyGO1276
1277,Groh / Holiday Inn,43.419323,-80.325685,EasyGO1277
1278,Groh / Holiday Inn,43.419118,-80.326117,EasyGO1278
1282,Eagle / Concession,43.40467,-80.348197,EasyGO1282
1283,Eagle / Shettleston,43.404093,-80.351697,EasyGO1283
1284,Eagle / Hexam,43.403585,-80.35481,EasyGO1284
1289,Laurel / Eagle,43.40332,-80.35546,EasyGO1289
1290,Eagle / Arlington,43.403978,-80.351891,EasyGO1290
1294,At Cambridge Markets,43.417372,-80.324295,EasyGO1294
1295,200 Holiday Inn Dr.,43.416402,-80.321398,EasyGO1295
1297,Jacob Hespeler S.S.,43.4171911,-80.31594557,EasyGO1297
1298,Holiday Inn / Franklin,43.417988,-80.311418,EasyGO1298
1299,Tannery / Queen,43.431587,-80.309243,EasyGO1299
1300,Guelph / Sheffield,43.434447,-80.311528,EasyGO1300
1301,Fisher Mills / Fearnwood,43.436422,-80.314835,EasyGO1301
1302,Fisher Mills / Scott,43.435448,-80.320128,EasyGO1302
1303,Scott / Nickolas,43.43752,-80.321073,EasyGO1303
1304,Scott / Milton,43.43906,-80.32024,EasyGO1304
1305,Poplar / Scott,43.441417,-80.317413,EasyGO1305
1306,Poplar / Dawn,43.445409,-80.316205,EasyGO1306
1307,Guelph / Fisher Mills,43.436957,-80.312165,EasyGO1307
1308,Guelph / Sheffield,43.434915,-80.311715,EasyGO1308
1309,Adam / Tannery,43.430485,-80.309755,EasyGO1309
1310,Franklin / Shamrock,43.42910151,-80.30965272,EasyGO1310
1312,Franklin / Thomas,43.424335,-80.310203,EasyGO1312
1313,Franklin / Winston,43.421783,-80.31037,EasyGO1313
1314,Holiday Inn / Cheval,43.417987,-80.31196,EasyGO1314
1315,Jacob Hespeler S.S.,43.417205,-80.31662,EasyGO1315
1316,The Holiday Inn,43.416512,-80.321533,EasyGO1316
1317,Heritage Bible College,43.417515,-80.324265,EasyGO1317
1318,Conestoga / Lena,43.392683,-80.315282,EasyGO1318
1319,Conestoga Transit Garage,43.394842,-80.316672,EasyGO1319
1320,Bishop / Collier-Macmillan,43.395937,-80.320837,EasyGO1320
1321,Bishop / Hespeler,43.39499,-80.325757,EasyGO1321
1322,Industrial / Bishop,43.394793,-80.329235,EasyGO1322
1323,1367 Industrial Rd.,43.396502,-80.329762,EasyGO1323
1324,Industrial / Langs,43.402378,-80.33158,EasyGO1324
1325,Eagle / Hespeler,43.407613,-80.329882,EasyGO1325
1326,Pinebush / Smartcentre,43.409082,-80.321437,EasyGO1326
1327,Pinebush / High Ridge,43.409917,-80.3169,EasyGO1327
1329,Pinebush / Balmoral,43.412682,-80.30126,EasyGO1329
1330,355 Pinebush Rd.,43.41311,-80.298437,EasyGO1330
1331,Pinebush / Fleming,43.41370532,-80.29487167,EasyGO1331
1332,Fleming / Thompson,43.4100035,-80.29346365,EasyGO1332
1333,Fleming / Sheldon,43.408788,-80.293065,EasyGO1333
1334,Bridge / Lexington,43.49796306,-80.50323824,EasyGO1334
1335,Sheldon / Balmoral,43.40729132,-80.30113485,EasyGO1335
1336,Sheldon / Franklin,43.406197,-80.307652,EasyGO1336
1337,Sheldon / Wolseley,43.40321,-80.312398,EasyGO1337
1338,Sheldon / Corydon,43.403142,-80.315672,EasyGO1338
1339,Conestoga / Sheldon,43.402043,-80.319252,EasyGO1339
1340,500 Conestoga Blvd.,43.40031,-80.318538,EasyGO1340
1341,Conestoga / Bishop,43.396665,-80.31768,EasyGO1341
1342,Dunbar / Conestoga,43.391293,-80.314528,EasyGO1342
1343,Can-Amera / Franklin,43.39356256,-80.3043277,EasyGO1343
1344,Saginaw / Green Vista,43.3908165,-80.29928486,EasyGO1344
1345,Saginaw / Cowan,43.38958247,-80.29619319,EasyGO1345
1346,Saginaw / Stonecairn,43.390142,-80.292855,EasyGO1346
1347,Saginaw / Chamberlin,43.389997,-80.288945,EasyGO1347
